item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,sector
3,2,4,2,3,4,3,3,3,4,public
5,5,5,5,1,1,1,5,1,1,public
3,4,2,3,4,4,2,3,2,3,public
5,5,1,5,1,1,1,5,1,2,public
5,5,1,4,1,2,1,5,1,1,public
1,1,5,3,1,4,3,2,3,1,public
1,2,5,1,3,5,3,1,2,4,private
3,3,4,2,3,4,3,4,2,3,private
4,4,2,4,2,2,2,4,2,3,public
2,3,3,3,3,3,2,3,2,2,private
4,4,4,3,2,5,2,4,2,2,public
3,3,3,3,4,3,3,2,3,3,private
2,3,2,4,2,4,2,3,1,5,public
2,2,4,3,4,5,3,2,2,3,private
1,1,5,1,5,5,5,1,5,5,private
1,3,3,1,1,5,5,1,5,5,private
4,5,2,2,1,2,1,5,1,2,public
1,1,5,1,1,5,3,3,3,5,private
2,3,2,3,4,4,4,2,3,4,public
2,2,3,3,3,2,3,3,2,3,private
3,4,3,4,5,5,3,2,2,3,public
1,1,5,2,1,5,5,1,2,2,public
3,2,2,3,3,3,2,3,3,2,public
1,3,1,1,4,5,5,1,5,5,private
2,1,4,3,4,4,3,2,3,3,private
3,3,3,3,3,3,3,3,3,3,private
3,5,5,5,5,4,1,5,1,1,public
4,3,2,4,3,1,3,3,2,3,public
2,2,1,3,3,2,3,2,2,3,public
1,3,3,2,5,5,4,1,5,5,private
3,3,3,3,3,3,2,4,1,1,private
1,1,3,2,3,3,4,1,1,3,private
1,1,5,2,5,5,5,2,4,5,private
5,5,1,5,1,1,1,5,1,1,public
1,1,3,2,5,4,4,2,3,3,public
2,2,2,3,3,2,2,3,1,1,private
3,2,5,2,3,5,3,2,2,4,public
3,3,3,4,2,3,1,5,1,1,public
5,5,1,4,1,3,1,5,1,1,public
1,1,4,2,5,4,4,2,3,4,private
4,4,2,4,3,3,1,4,1,3,public
2,3,2,3,3,3,3,2,3,3,private
1,2,3,3,3,4,3,2,3,3,private
4,4,1,4,1,1,2,4,1,1,private
1,2,4,2,2,3,4,1,3,3,private
2,2,4,3,3,4,2,4,2,3,public
3,4,4,3,5,2,4,2,2,2,private
5,5,1,5,1,1,1,5,1,1,public
3,2,4,4,4,4,2,3,2,4,public
3,4,1,4,3,2,1,4,1,1,private
3,5,2,4,2,4,4,4,2,5,public
4,4,2,4,2,3,1,3,1,2,private
1,2,1,1,1,5,5,1,3,4,private
1,1,2,3,3,2,3,3,3,1,private
4,4,2,4,2,2,2,4,2,2,public
2,4,2,2,2,2,4,2,4,3,private
3,4,2,4,4,3,1,4,2,1,private
4,4,3,5,4,3,2,3,1,1,private
4,3,2,4,3,3,2,4,1,2,private
3,5,1,4,3,3,3,4,2,2,private
1,1,4,2,5,5,3,2,5,4,public
1,2,4,2,3,4,3,2,3,4,private
2,1,3,2,4,5,5,4,5,5,public
5,5,2,5,2,2,2,4,2,2,public
3,4,2,4,3,3,3,4,3,3,private
4,4,2,4,2,3,1,4,2,2,public
3,3,4,2,4,3,3,2,5,2,private
1,2,5,2,4,4,2,2,2,3,public
2,4,3,3,3,2,2,3,2,2,private
3,3,4,3,2,5,2,4,3,3,private
4,3,2,3,3,3,2,4,1,2,private
3,3,3,3,3,3,3,4,3,3,public
4,3,3,3,3,3,3,4,2,3,public
4,4,1,5,1,3,2,5,1,2,private
1,1,5,1,5,5,3,1,1,5,public
4,5,2,4,2,3,2,5,2,3,public
3,3,2,3,2,3,2,4,2,3,public
3,3,3,3,3,3,3,3,3,3,private
2,3,3,3,3,3,4,3,3,3,private
3,3,3,3,3,3,3,3,3,3,private
5,5,1,5,1,3,1,4,1,2,private
3,4,2,3,2,2,1,3,3,3,public
5,4,1,4,2,2,1,5,2,2,private
4,4,2,4,2,3,1,5,2,2,public
4,3,2,4,2,3,1,4,1,2,public
3,4,4,4,2,4,2,3,3,2,private
5,5,1,5,3,1,1,5,1,1,public
4,4,2,5,1,2,2,5,2,2,public
1,1,2,3,3,5,3,4,3,5,private
5,5,2,5,1,3,1,5,1,2,public
1,1,5,1,4,5,4,1,4,4,public
3,3,3,2,3,3,2,2,2,4,private
4,4,2,4,2,2,2,5,2,2,public
4,3,2,4,2,3,2,5,2,2,public
3,3,4,2,3,4,2,4,2,4,public
4,4,2,4,3,2,2,3,1,2,public
1,2,4,3,5,4,5,1,4,4,private
2,2,3,1,5,3,2,1,5,2,public
3,4,2,3,3,2,2,3,2,2,public
2,3,4,3,3,4,3,3,2,4,public
1,3,5,3,3,5,4,2,3,3,public
2,5,2,4,4,2,1,5,2,3,private
1,2,4,3,4,4,3,3,3,3,public
2,1,2,3,3,2,3,2,3,3,private
4,4,2,3,3,5,3,2,2,3,public
3,3,2,4,2,2,2,4,1,3,public
3,3,1,3,3,2,1,3,2,1,private
4,4,1,4,2,3,2,5,1,1,private
1,3,2,4,3,2,2,2,2,3,public
3,2,4,2,3,5,3,3,3,4,private
2,5,1,3,4,3,1,4,3,3,public
2,3,4,3,3,4,4,2,4,3,public
3,3,3,3,3,3,3,3,3,3,public
5,4,2,4,2,2,1,4,2,3,public
5,4,1,5,1,1,1,5,1,2,private
1,1,5,1,5,5,5,1,2,5,private
5,4,1,4,1,3,1,5,2,2,private
4,3,3,3,1,3,2,3,1,1,public
4,4,1,4,4,5,2,5,1,3,private
5,5,5,5,5,5,5,5,5,5,private
3,3,2,4,2,3,1,5,2,2,public
2,3,2,3,1,3,3,4,2,2,public
3,3,1,3,1,3,2,4,3,2,public
1,1,1,2,5,5,5,1,5,5,private
2,2,3,3,3,4,4,2,3,4,private
3,3,2,3,2,3,2,5,2,3,private
4,4,5,5,5,5,4,5,3,4,private
3,5,3,5,3,3,3,2,1,3,private
2,2,3,2,2,3,3,2,3,1,private
5,5,1,5,1,1,1,5,1,1,public
3,4,4,4,2,3,2,4,1,1,public
5,4,1,5,2,2,1,5,1,2,private
3,3,3,3,3,3,4,2,4,5,public
4,4,2,4,2,2,2,4,1,3,private
4,4,2,4,1,3,1,5,1,3,public
1,1,3,1,2,1,1,1,1,3,public
4,3,3,3,3,3,2,3,2,4,public
1,2,4,2,4,4,3,2,2,4,private
5,4,1,3,1,2,1,5,1,2,public
3,2,3,2,3,3,2,3,3,3,public
3,3,3,3,3,3,3,3,3,3,private
2,2,1,3,2,3,2,3,1,1,private
3,3,4,3,4,3,4,3,2,3,public
4,4,4,5,4,4,1,5,1,2,private
2,3,3,3,3,2,3,4,2,3,public
3,5,1,5,3,1,3,5,1,2,public
1,2,4,2,4,5,3,3,2,4,private
4,3,2,3,2,4,3,5,1,2,public
3,3,1,5,1,3,4,2,1,2,private
1,3,4,3,5,5,4,2,1,3,public
2,3,2,4,4,4,4,1,2,3,private
5,3,3,3,2,2,1,5,1,2,public
2,2,3,3,3,3,3,3,2,2,public
5,5,1,5,1,1,1,5,1,1,public
3,3,3,4,3,3,2,4,3,2,public
2,3,2,3,3,3,2,5,2,2,public
5,4,1,1,2,3,1,5,1,2,public
1,2,4,2,4,4,3,3,2,4,private
5,3,2,4,1,4,1,5,1,1,public
4,4,2,4,1,2,1,5,1,2,public
5,5,1,5,1,1,1,5,1,1,public
2,3,3,2,3,4,4,2,3,4,private
5,5,1,5,5,1,1,5,4,1,private
4,4,1,4,1,1,1,5,1,2,private
4,5,4,4,4,4,4,4,4,4,public
5,5,4,3,1,2,1,5,1,1,private
3,4,2,3,1,3,1,5,1,2,private
5,4,2,4,1,3,1,5,1,1,public
4,4,1,4,1,2,1,5,1,2,public
3,3,4,4,2,3,1,5,2,5,public
1,2,3,2,5,5,3,3,2,3,private
1,2,4,3,5,5,4,2,4,4,private
2,3,2,3,3,2,3,4,3,3,public
2,3,2,3,3,3,3,3,1,2,private
5,5,2,5,2,2,2,4,2,2,private
3,4,2,3,3,4,3,4,4,3,private
2,2,2,3,2,3,2,3,2,3,private
4,4,2,4,2,2,2,5,2,2,public
3,3,3,3,3,3,3,3,3,3,public
1,4,2,3,3,2,4,2,4,3,public
5,4,2,3,2,4,1,3,1,3,public
1,1,5,1,4,4,3,2,4,3,private
1,1,5,1,5,5,5,1,5,5,public
3,2,4,2,3,2,2,4,1,2,public
4,5,1,5,1,2,2,4,2,2,private
2,2,3,2,3,4,2,2,3,3,public
5,3,3,4,4,4,3,4,4,3,public
3,3,3,3,3,3,2,3,2,3,private
2,3,4,3,5,5,5,3,3,2,public
5,5,1,5,1,1,1,5,1,1,public
4,5,1,5,1,1,1,5,1,1,public
2,3,5,3,3,4,3,2,1,3,private
3,4,2,3,2,3,2,3,2,3,public
2,2,3,3,4,5,2,2,4,4,private
1,2,3,2,3,4,4,2,3,3,private
1,1,5,2,2,4,4,1,3,1,public
2,3,3,2,3,4,2,2,2,3,private
4,4,1,4,2,3,1,4,2,2,private
3,3,2,4,2,3,1,5,1,1,public
2,2,3,2,3,3,4,3,4,4,public
3,1,4,3,3,5,3,3,2,4,public
3,3,2,4,2,3,2,5,2,2,private
3,1,5,3,5,3,3,5,1,1,public
2,3,4,3,5,2,5,5,4,5,public
2,1,3,3,2,3,2,4,1,3,public
2,3,2,3,3,3,3,3,2,3,public
3,4,2,3,2,3,2,3,2,3,public
3,3,2,3,3,2,3,2,1,1,public
2,3,2,2,3,4,2,3,3,3,private
2,3,2,3,4,4,3,2,2,4,private
2,2,4,2,5,2,4,3,4,4,private
1,1,5,1,5,1,4,1,2,3,public
3,3,3,3,3,2,1,3,1,1,public
1,1,5,1,1,5,4,4,5,3,private
1,2,3,2,3,3,3,2,2,4,public
4,3,2,4,2,3,2,5,1,4,public
2,2,3,2,4,4,3,2,5,3,private
2,1,4,2,5,3,5,2,3,4,private
1,1,4,1,2,5,5,1,5,5,public
3,2,5,3,4,5,4,2,3,4,private
2,3,3,2,4,3,4,3,2,3,public
3,3,2,3,2,3,2,4,1,1,private
3,2,4,3,2,5,1,3,1,2,private
1,3,5,1,5,5,2,1,2,5,private
1,2,3,3,3,4,3,5,5,5,public
3,3,4,3,3,5,2,2,4,3,public
3,3,2,3,2,3,2,4,1,2,public
4,3,2,4,2,3,2,4,2,2,private
4,3,3,3,2,3,3,5,3,3,private
3,3,2,3,3,3,2,3,2,3,private
4,2,5,4,4,4,4,2,1,4,public
3,3,2,2,3,2,2,3,3,3,private
2,3,2,3,2,4,3,3,2,2,private
4,5,2,4,3,3,2,5,1,3,private
2,3,2,3,3,3,3,2,2,4,private
1,1,5,1,1,5,5,1,5,5,private
1,2,4,2,4,4,4,2,4,3,public
1,2,3,2,2,3,5,2,1,2,public
4,4,3,4,3,3,2,4,2,4,public
3,4,1,3,1,1,3,2,2,2,private
3,3,2,3,2,2,3,4,1,3,public
2,3,2,3,3,3,3,2,4,2,private
3,3,2,3,2,2,1,5,2,2,public
1,2,5,2,5,4,4,2,4,5,public
3,2,2,3,4,2,3,3,4,3,private
4,4,3,4,3,4,5,3,5,3,public
3,3,2,4,2,2,3,4,2,2,private
3,4,3,4,2,3,1,4,1,1,public
4,3,4,3,3,4,2,4,1,5,public
2,2,4,3,3,4,3,2,2,4,public
1,1,5,1,5,5,5,2,4,4,private
3,3,1,2,5,4,2,2,4,4,private
4,3,2,3,2,5,1,4,2,3,public
3,4,4,4,4,4,4,4,4,5,public
4,5,2,5,1,2,2,5,1,1,public
4,4,1,4,2,2,1,4,2,1,public
5,5,1,5,1,1,1,5,1,1,public
3,3,1,4,1,3,1,5,1,2,public
3,3,2,4,2,2,1,5,2,2,private
3,3,3,3,2,3,2,4,2,3,public
5,5,1,5,1,2,2,5,2,3,public
4,4,1,4,2,4,1,4,1,2,public
3,3,2,3,3,3,3,3,2,3,public
2,3,3,3,2,5,2,3,2,4,private
4,3,3,3,2,2,1,5,1,2,public
5,5,1,5,1,1,1,4,1,2,public
5,5,1,4,2,3,1,5,2,2,public
3,4,2,3,3,3,2,3,1,2,public
1,1,5,4,5,5,1,1,2,4,private
4,4,1,4,1,2,1,5,1,1,public
4,4,4,4,4,4,4,4,4,4,public
3,4,1,3,1,2,2,3,1,3,public
3,3,2,4,1,3,2,5,1,2,private
2,2,3,2,5,5,3,2,3,2,private
2,2,5,3,5,5,4,2,5,5,private
1,1,5,3,5,5,4,2,5,4,private
1,2,5,3,3,4,5,1,5,4,private
1,2,4,1,5,4,3,2,3,4,private
3,3,2,3,3,4,2,3,2,2,public
5,5,2,5,1,2,1,5,1,1,private
1,2,5,1,4,5,4,1,3,5,private
2,2,4,2,4,5,3,2,4,5,public
3,3,2,3,3,4,2,4,2,3,public
3,3,3,3,4,3,3,3,1,3,public
3,4,1,4,2,1,1,3,1,1,private
4,4,3,3,2,2,2,4,2,2,public
2,2,4,2,2,4,4,2,4,4,public
4,3,3,4,1,3,1,4,2,2,public
4,4,2,4,2,3,2,4,2,3,private
1,1,4,1,4,4,5,1,5,4,public
4,4,2,4,2,2,2,5,2,2,public
3,5,1,5,2,3,3,3,2,2,public
3,5,1,4,3,2,1,3,1,3,public
4,4,5,4,4,5,4,3,3,3,public
4,4,1,5,1,1,1,5,1,1,private
1,2,3,2,3,4,3,2,4,3,private
4,4,2,4,1,2,1,5,1,1,public
5,3,1,4,1,1,1,5,1,1,public
1,3,3,3,3,3,3,2,1,3,private
4,4,2,3,2,3,1,3,2,2,private
4,3,2,3,4,2,1,5,1,3,public
2,3,4,2,4,3,3,3,2,4,public
4,4,4,5,5,5,4,5,4,5,public
4,3,3,3,4,3,2,4,1,4,public
4,4,2,3,4,4,2,4,2,2,public
3,3,2,4,2,2,2,3,2,2,private
4,5,1,5,1,1,2,5,1,2,private
2,3,2,3,3,4,2,2,4,3,private
1,2,3,3,3,4,2,4,2,2,private
4,3,2,2,3,3,2,2,3,3,private
3,3,3,3,3,3,3,5,1,3,private
5,5,1,4,1,1,1,5,1,1,public
3,3,2,3,2,3,2,3,2,3,private
2,2,2,3,2,2,2,2,3,2,public
3,2,3,4,2,3,2,2,1,2,public
3,3,3,3,3,3,4,2,2,4,public
3,3,3,3,2,3,2,4,2,2,public
1,3,5,1,5,5,4,1,4,4,public
3,2,5,2,3,5,1,5,2,2,public
5,5,1,5,1,2,1,5,1,1,public
3,4,2,4,2,2,2,4,2,3,private
1,2,3,2,5,5,4,1,3,5,private
2,3,3,3,3,3,3,3,3,2,public
5,5,4,4,5,5,4,4,4,5,public
2,3,3,3,5,4,2,3,4,3,public
2,3,2,3,2,3,3,4,1,3,private
1,4,3,4,5,4,5,2,3,4,public
2,2,2,3,2,2,3,3,3,3,private
3,5,2,5,1,2,1,4,1,2,private
3,4,2,4,4,3,2,5,2,3,private
1,1,5,2,1,5,5,1,5,4,private
4,4,3,4,4,5,2,3,1,4,private
3,3,3,4,2,3,2,5,1,2,public
5,5,5,5,5,5,3,4,1,1,private
2,3,2,3,4,3,2,3,4,1,private
4,3,2,2,2,3,2,3,2,2,private
4,4,3,4,1,3,1,5,1,2,private
4,4,2,4,2,2,1,5,1,1,public
1,1,4,2,5,5,4,2,2,4,public
2,3,3,2,3,3,2,3,2,3,public
4,4,2,4,1,3,1,3,1,1,private
2,3,2,3,3,3,2,3,2,2,public
4,4,3,3,3,3,2,3,1,3,private
4,3,2,4,2,2,1,4,1,1,public
3,3,2,4,2,4,2,4,1,3,private
4,4,1,4,1,3,2,3,2,2,public
5,3,2,3,4,3,2,2,3,3,public
3,4,2,3,5,3,3,2,2,2,private
1,2,3,2,4,4,3,1,4,4,private
1,3,3,3,4,3,2,4,2,2,public
3,3,2,3,3,3,3,3,2,2,private
1,2,5,2,5,5,5,1,2,3,private
3,3,3,3,3,3,3,4,2,3,public
5,4,3,3,2,3,1,5,3,3,public
5,5,2,4,1,3,1,5,1,3,public
4,4,2,4,2,3,2,5,2,3,private
3,3,2,4,3,3,3,4,2,2,public
4,4,3,3,2,3,2,3,3,2,private
5,4,2,4,3,2,1,5,1,3,public
4,4,1,3,2,2,1,5,1,2,public
2,3,2,4,3,3,2,3,2,3,private
3,4,1,5,2,3,2,3,1,2,private
2,2,5,2,2,5,5,2,2,5,private
4,4,1,5,3,3,2,5,1,3,private
1,3,2,3,3,5,4,2,1,5,private
5,5,1,5,1,3,1,5,1,3,public
4,4,2,4,4,2,1,4,2,2,private
2,4,2,5,2,2,1,4,1,2,public
3,5,2,4,2,2,3,2,2,3,private
4,4,1,5,1,2,1,5,1,1,public
3,3,3,3,3,3,2,4,2,3,private
4,3,2,3,3,3,3,2,1,2,private
2,3,2,3,4,3,2,2,2,3,public
3,4,2,4,1,3,2,4,2,2,private
3,4,4,4,2,2,2,4,1,2,private
3,3,2,3,2,2,3,3,2,3,public
3,4,2,3,3,3,2,3,2,3,public
5,5,2,5,2,2,1,5,1,1,private
1,4,3,3,3,4,3,2,2,2,private
1,3,4,2,5,3,4,2,4,4,public
1,3,1,3,3,3,3,3,1,2,private
2,2,1,2,3,1,2,3,3,3,public
4,4,2,4,1,2,1,3,1,1,public
3,4,3,4,3,3,2,3,2,2,private
3,4,2,3,3,2,2,2,3,2,public
3,3,2,4,2,3,1,4,1,3,public
4,4,4,3,3,3,3,2,1,3,private
3,3,3,2,4,4,2,1,4,4,private
4,4,3,5,2,2,1,5,1,3,public
1,2,5,2,5,3,4,1,4,4,private
2,2,2,1,4,4,3,2,3,4,public
4,5,1,4,2,1,2,4,2,2,private
3,5,2,4,3,3,1,5,1,1,private
2,2,4,2,4,4,4,2,3,3,public
4,5,1,5,1,1,1,5,1,5,public
3,3,2,5,2,4,1,5,1,2,public
4,4,2,4,2,2,1,4,2,4,public
3,4,3,3,2,3,2,5,2,2,private
1,1,4,3,3,5,5,3,2,3,private
3,4,3,4,2,4,1,4,4,2,public
4,4,1,3,1,3,2,3,2,2,private
3,4,2,4,2,2,1,2,2,3,public
2,2,3,3,3,3,3,3,3,3,private
5,5,1,5,1,2,1,5,1,2,private
5,5,1,5,1,1,1,5,1,1,public
2,3,3,3,3,3,2,3,3,2,public
1,2,3,4,5,2,5,2,3,3,public
1,2,5,1,5,5,5,1,5,5,private
1,3,4,2,5,5,4,2,5,5,private
1,2,4,2,3,4,4,1,5,4,private
1,1,4,2,5,5,5,1,4,5,public
3,4,2,4,2,4,2,4,2,3,public
2,3,3,3,3,5,3,3,2,3,private
2,5,5,3,5,2,4,5,4,4,public
1,2,4,3,5,4,4,2,4,4,public
1,1,5,2,5,5,3,2,5,4,public
2,3,4,2,2,3,2,3,3,4,private
1,1,1,2,1,5,5,1,5,5,private
1,2,5,3,2,5,4,2,4,4,public
4,5,1,5,1,2,1,5,1,2,public
5,4,2,3,3,2,2,4,2,2,public
3,3,3,3,3,3,3,3,3,3,private
3,3,2,4,4,3,1,4,1,2,public
3,5,2,4,4,3,2,3,2,3,public
3,3,4,3,3,5,3,2,2,4,public
2,3,3,2,4,5,5,2,5,4,private
5,5,2,5,1,1,1,5,1,1,public
3,3,3,3,3,5,2,2,3,3,public
4,4,2,4,2,3,1,3,1,2,private
1,3,5,2,4,4,4,2,5,4,public
2,3,1,3,3,3,2,5,1,4,public
4,4,3,4,4,4,1,4,1,1,public
4,5,1,4,1,1,1,5,1,2,public
2,3,3,4,4,4,4,2,2,4,private
2,1,3,3,3,3,4,2,2,2,private
2,3,3,2,4,4,4,1,4,4,private
2,3,2,1,1,3,3,4,4,2,private
2,2,4,2,5,5,3,1,4,3,public
4,5,1,4,1,2,1,5,1,2,private
3,3,3,3,3,3,3,3,3,3,private
1,1,4,3,2,5,4,2,3,4,private
3,3,3,3,4,5,3,4,3,4,public
3,5,1,5,1,4,3,4,1,3,private
1,1,5,1,1,5,5,1,5,5,public
1,1,3,1,5,5,5,1,5,5,private
1,1,5,1,3,5,4,1,5,5,private
5,4,1,5,2,1,1,5,1,1,public
3,5,1,5,1,2,1,5,1,1,private
2,3,3,2,4,4,1,4,2,4,public
1,3,2,3,2,3,3,3,3,5,private
4,4,2,4,2,3,2,5,1,3,public
3,3,3,3,3,3,3,3,3,3,public
3,4,2,3,3,2,2,3,2,3,private
3,4,2,4,1,3,1,5,1,1,private
1,3,5,3,5,5,4,5,2,5,public
1,5,1,1,1,1,1,5,1,2,public
5,5,1,5,1,1,1,5,1,1,public
2,2,3,2,5,3,3,2,4,4,private
4,4,2,4,2,3,3,4,2,2,public
3,3,3,3,3,4,3,3,3,3,private
2,1,5,3,2,5,4,1,5,4,public
3,3,3,3,4,3,2,4,2,3,private
1,1,1,1,1,1,5,1,5,5,public
2,3,4,3,4,4,3,4,2,1,public
3,4,3,3,4,4,2,4,3,3,public
3,2,5,3,3,5,5,2,4,4,public
1,1,5,1,1,5,5,1,5,5,private
4,2,1,4,3,5,2,2,1,1,public
1,2,5,1,5,5,5,2,3,2,public
3,4,1,3,3,2,1,5,1,5,public
3,3,2,4,3,2,2,4,1,2,private
2,4,2,4,2,2,4,5,2,2,private
3,3,3,3,3,4,3,3,2,3,public
3,3,4,2,5,4,3,2,3,2,public
2,5,1,4,3,3,2,5,1,4,private
1,2,2,2,3,2,3,2,1,3,public
3,3,3,3,3,3,3,3,3,3,private
3,4,1,4,2,2,2,3,2,3,private
4,4,2,4,1,3,1,5,1,3,private
1,3,3,2,3,5,2,2,3,4,private
5,4,1,4,1,3,2,5,1,2,private
3,3,3,3,2,3,2,5,2,2,public
3,4,1,4,4,1,1,4,3,2,public
5,5,1,5,1,3,1,5,1,2,private
5,3,2,4,2,3,2,5,1,2,public
1,3,5,1,5,5,5,1,2,5,private
3,3,2,4,4,2,1,4,2,2,public
2,1,3,2,4,4,3,4,2,2,public
3,3,3,5,2,3,3,4,2,3,private
1,3,5,3,5,5,4,1,4,4,private
5,5,1,5,5,1,1,5,1,3,public
2,3,2,3,3,3,4,3,2,3,private
2,2,3,2,5,5,5,2,5,5,public
4,4,3,4,3,5,2,5,1,3,private
2,3,3,2,5,5,1,5,1,3,private
3,3,3,3,3,4,2,4,2,4,public
2,3,3,3,3,5,3,1,1,4,public
4,5,1,5,1,1,2,4,2,2,public
4,5,3,5,1,3,1,5,1,3,public
4,3,2,3,3,4,3,4,1,3,public
1,1,5,1,5,5,5,5,4,2,public
4,2,5,3,3,5,3,3,1,5,public
2,3,3,1,2,4,5,1,3,5,public
2,2,3,2,4,3,3,3,3,4,private
3,3,3,3,2,3,1,5,1,2,private
4,3,2,3,2,3,2,4,2,2,public
3,3,3,2,3,3,3,4,1,3,private
4,5,2,3,1,2,1,5,1,2,private
4,3,4,3,4,4,3,3,3,4,public
3,3,3,2,2,4,3,3,3,2,public
3,2,4,3,4,4,3,3,3,4,public
3,3,1,3,4,3,2,4,2,2,private
3,4,2,5,4,3,3,1,4,4,public
3,3,3,3,3,4,2,3,3,3,private
3,3,3,3,3,3,1,5,1,2,public
1,2,4,2,3,4,3,2,4,4,private
1,3,3,3,3,4,3,2,3,1,private
3,4,3,3,3,3,2,3,2,3,private
3,2,3,3,3,3,3,4,3,2,public
5,5,2,4,3,4,1,5,1,3,private
1,2,5,1,5,5,5,1,5,5,private
2,2,3,2,3,4,2,4,3,3,private
3,3,2,3,3,2,2,2,2,3,public
2,2,3,3,3,3,2,2,2,3,public
4,4,3,4,3,2,2,5,1,1,private
4,4,2,2,2,3,2,5,1,3,private
4,4,2,4,2,3,1,3,2,2,private
3,4,2,4,1,2,2,5,2,2,public
2,2,3,3,3,5,4,2,2,5,public
1,3,4,3,5,4,3,2,3,4,public
4,3,2,4,2,2,1,5,2,2,public
5,5,1,5,5,3,1,5,1,1,public
3,2,3,3,4,5,2,2,3,3,private
4,4,1,4,1,2,1,5,1,1,public
3,4,2,4,3,2,2,3,2,4,private
4,3,2,4,2,3,1,5,1,3,public
3,3,3,3,3,3,3,3,3,2,public
4,4,3,2,3,3,3,2,3,3,public
2,3,3,3,4,5,3,1,3,3,private
3,3,3,3,3,4,2,3,3,3,public
1,2,3,3,5,5,4,3,2,3,private
4,4,3,3,2,2,3,5,2,2,public
1,1,5,1,3,5,5,1,5,4,private
3,2,3,2,4,4,4,3,4,2,public
3,3,2,3,3,3,2,4,2,3,public
1,3,3,3,3,3,3,3,3,3,public
1,3,4,2,3,3,3,2,4,2,private
1,1,2,1,3,4,4,1,5,3,private
2,1,3,2,3,3,3,2,3,3,public
